0,1,2,3,4,Class
569,272,468,105,350,0
736,220,404,168,236,0
644,319,442,130,229,0
536,331,482,109,306,0
628,226,476,164,270,0
589,296,433,96,350,0
776,247,352,149,240,0
712,275,392,169,216,0
671,376,384,94,239,0
611,327,458,112,256,0
585,447,409,74,249,0
918,218,222,221,185,0
686,289,444,128,217,0
840,211,341,179,193,0
646,323,422,137,236,0
799,300,331,156,178,0
479,397,470,80,338,0
1089,122,254,185,114,0
703,346,396,78,241,0
595,302,492,149,226,0
638,343,443,93,247,0
639,319,419,130,257,0
616,373,428,90,257,0
661,193,500,178,232,0
426,407,549,59,323,0
653,332,382,87,310,0
696,186,472,218,192,0
440,346,512,86,380,0
995,233,187,225,124,0
619,322,461,113,249,0
820,209,320,199,216,0
621,351,420,108,264,0
639,138,509,210,268,0
993,155,240,245,131,0
758,202,392,200,212,0
1311,66,139,156,92,0
555,337,433,105,334,0
674,269,422,150,249,0
526,345,484,85,324,0
695,227,419,181,242,0
804,230,402,165,163,0
684,253,455,120,252,0
727,314,341,130,252,0
539,284,505,87,349,0
632,269,468,165,230,0
653,283,447,165,216,0
642,286,424,152,260,0
462,354,497,91,360,0
945,134,280,255,150,0
554,312,438,96,364,0
734,167,399,187,277,0
829,203,359,164,209,0
749,298,357,160,200,0
422,402,523,64,353,0
768,218,410,166,202,0
541,356,495,102,270,0
690,254,414,162,244,0
652,303,414,150,245,0
495,252,521,155,341,0
582,476,383,56,267,0
854,104,424,213,169,0
558,235,550,174,247,0
820,240,331,177,196,0
683,292,409,139,241,0
373,333,587,88,383,0
422,445,535,46,316,0
1212,79,208,173,92,0
632,314,407,144,267,0
1092,149,183,213,127,0
841,286,310,152,175,0
662,250,473,156,223,0
485,306,554,127,292,0
519,409,484,82,270,0
723,162,467,225,187,0
783,239,346,191,205,0
590,301,459,121,293,0
541,379,435,96,313,0
919,194,271,231,149,0
666,308,409,113,268,0
1137,94,149,312,72,0
743,321,330,130,240,0
342,396,571,61,394,0
592,303,444,127,298,0
580,312,477,131,264,0
456,392,509,74,333,0
772,172,424,170,226,0
99,446,577,3,639,0
695,310,383,120,256,0
734,155,449,178,248,0
357,316,499,65,527,0
766,295,328,166,209,0
327,402,571,42,422,0
660,184,480,206,234,0
706,228,398,178,254,0
757,221,386,194,206,0
599,375,422,88,280,0
721,243,417,161,222,0
629,300,460,134,241,0
902,106,366,218,172,0
670,244,450,133,267,0
387,370,516,66,425,0
437,460,519,31,317,0
750,164,408,222,220,0
692,282,421,87,282,0
587,398,440,80,259,0
577,316,465,120,286,0
573,306,438,103,344,0
396,363,494,59,452,0
1036,195,248,141,144,0
315,411,542,46,450,0
1136,110,236,186,96,0
456,390,496,59,363,0
667,258,408,109,322,0
957,154,308,192,153,0
897,160,337,199,171,0
486,294,489,113,382,0
705,296,362,153,248,0
702,220,413,144,285,0
729,252,417,171,195,0
737,130,446,225,226,0
781,214,393,150,226,0
634,377,428,96,229,0
608,319,462,114,261,0
772,225,384,167,216,0
678,178,496,204,208,0
730,256,387,174,217,0
600,324,437,122,281,0
1113,130,230,166,125,0
649,308,414,137,256,0
524,304,492,128,316,0
1000,151,330,123,160,0
900,171,310,226,157,0
634,334,403,101,292,0
621,283,448,139,273,0
983,125,246,282,128,0
914,202,286,225,137,0
645,236,481,170,232,0
631,274,477,161,221,0
722,213,452,176,201,0
892,164,294,248,166,0
605,307,400,88,364,0
666,230,442,176,250,0
422,402,550,75,315,0
635,299,452,139,239,0
963,149,264,259,129,0
759,283,356,146,220,0
672,283,395,134,280,0
562,404,446,77,275,0
935,193,299,157,180,0
919,159,289,246,151,0
726,211,447,205,175,0
463,382,476,93,350,0
443,406,513,76,326,0
635,331,437,132,229,0
800,221,371,178,194,0
672,399,392,75,226,0
901,171,325,242,125,0
799,282,307,160,216,0
290,351,532,51,540,0
928,266,279,175,116,0
669,332,382,124,257,0
658,240,442,126,298,0
619,253,486,135,271,0
546,266,476,134,342,0
590,236,431,147,360,0
341,428,550,56,389,0
979,114,266,253,152,0
206,493,656,12,397,0
867,174,351,183,189,0
547,419,494,71,233,0
688,310,377,134,255,0
817,311,303,146,187,0
642,295,335,104,388,0
704,278,425,119,238,0
788,246,372,140,218,0
397,320,560,91,396,0
735,428,310,86,205,0
835,142,386,194,207,0
804,248,376,180,156,0
806,209,358,196,195,0
866,221,317,206,154,0
511,351,502,105,295,0
356,409,539,59,401,0
1017,133,236,280,98,0
872,222,312,177,181,0
922,131,327,241,143,0
886,152,330,259,137,0
560,226,545,172,261,0
776,280,316,171,221,0
814,118,454,200,178,0
779,165,403,165,252,0
622,343,407,130,262,0
406,369,566,70,353,0
822,223,358,175,186,0
664,284,392,122,302,0
937,160,269,233,165,0
595,294,429,122,324,0
663,284,413,136,268,0
871,118,379,242,154,0
656,283,434,149,242,0
719,293,381,158,213,0
342,453,567,34,368,0
932,184,257,249,142,0
823,233,351,179,178,0
910,170,300,225,159,0
892,196,297,234,145,0
728,247,379,174,236,0
506,471,478,41,268,0
885,160,315,218,186,0
724,274,412,116,238,0
858,184,346,212,164,0
949,148,279,220,168,0
692,337,386,110,239,0
920,135,329,200,180,0
552,260,479,147,326,0
337,402,570,58,397,0
887,194,305,221,157,0
603,293,460,105,303,0
645,186,393,148,392,0
835,143,374,188,224,0
752,207,392,203,210,0
642,412,403,73,234,0
485,416,524,64,275,0
537,358,475,83,311,0
564,285,445,144,326,0
492,400,476,69,327,0
1027,157,227,223,130,0
942,171,331,151,169,0
552,409,439,79,285,0
533,317,496,124,294,0
559,375,437,90,303,0
645,279,446,154,240,0
557,379,467,87,274,0
