0,1,2,3,4,Class
870,215,326,163,190,2
502,329,548,106,279,2
565,328,438,96,337,2
208,365,598,41,552,2
722,316,381,140,205,2
795,182,358,241,188,2
650,191,508,190,225,2
1008,113,284,251,108,2
705,240,408,116,295,2
1312,76,167,141,68,2
482,379,471,71,361,2
623,340,411,84,306,2
1110,98,232,177,147,2
783,246,389,184,162,2
653,307,430,121,253,2
958,141,310,227,128,2
307,347,566,88,456,2
777,173,445,194,175,2
1064,188,252,131,129,2
703,340,383,116,222,2
643,326,431,133,231,2
883,148,344,203,186,2
869,159,362,203,171,2
869,184,324,187,200,2
629,360,422,112,241,2
621,302,450,132,259,2
529,342,504,79,310,2
894,158,337,186,189,2
642,287,424,143,268,2
867,229,283,224,161,2
826,276,297,166,199,2
709,217,481,140,217,2
568,351,462,112,271,2
537,383,439,81,324,2
673,337,389,121,244,2
870,128,371,220,175,2
341,348,527,78,470,2
798,247,304,211,204,2
1220,101,167,167,109,2
592,377,413,85,297,2
828,183,372,196,185,2
735,211,422,177,219,2
585,288,483,94,314,2
415,344,534,105,366,2
261,468,591,38,406,2
201,391,643,50,479,2
872,116,373,220,183,2
791,219,356,194,204,2
1110,129,227,196,102,2
605,232,465,125,337,2
733,260,361,164,246,2
978,207,278,155,146,2
398,349,519,56,442,2
745,217,395,183,224,2
921,179,265,219,180,2
707,179,461,205,212,2
674,218,420,192,260,2
378,368,623,53,342,2
1008,113,296,208,139,2
707,258,428,161,210,2
560,245,527,165,267,2
918,63,363,248,172,2
640,348,375,113,288,2
828,188,364,197,187,2
803,224,366,174,197,2
1072,148,237,183,124,2
569,302,482,165,246,2
608,304,437,97,318,2
898,168,338,151,209,2
564,322,441,115,322,2
765,236,404,130,229,2
840,176,306,232,210,2
857,184,367,196,160,2
612,336,431,86,299,2
559,321,517,117,250,2
655,225,434,149,301,2
507,327,489,93,348,2
957,144,310,210,143,2
977,74,340,251,122,2
676,297,393,137,261,2
357,440,529,25,413,2
711,252,390,135,276,2
486,477,488,47,266,2
557,378,431,91,307,2
765,246,377,169,207,2
1012,200,266,126,160,2
784,212,401,162,205,2
1154,114,204,175,117,2
803,153,395,209,204,2
728,201,340,208,287,2
1076,68,264,253,103,2
611,285,420,154,294,2
522,331,498,82,331,2
779,236,367,186,196,2
374,406,509,56,419,2
853,164,337,214,196,2
304,355,607,76,422,2
788,245,383,166,182,2
710,298,357,127,272,2
651,348,402,115,248,2
656,338,393,126,251,2
410,376,482,65,431,2
899,250,267,197,151,2
299,443,587,40,395,2
504,348,515,92,305,2
822,180,371,177,214,2
971,91,330,237,135,2
705,282,384,135,258,2
972,178,321,126,167,2
860,182,327,182,213,2
332,388,597,62,385,2
840,221,328,214,161,2
1299,92,128,143,102,2
811,214,366,176,197,2
757,297,347,163,200,2
869,220,283,150,242,2
329,386,592,56,401,2
765,283,333,162,221,2
786,280,367,130,201,2
606,305,421,140,292,2
818,240,347,152,207,2
571,355,432,116,290,2
1068,88,197,316,95,2
988,113,311,199,153,2
1338,71,152,112,91,2
545,385,442,80,312,2
935,120,326,216,167,2
1002,86,280,258,138,2
585,282,501,146,250,2
1021,138,236,258,111,2
1083,111,256,198,116,2
1108,131,227,174,124,2
277,337,547,75,528,2
767,243,419,127,208,2
696,212,465,162,229,2
626,275,455,149,259,2
906,187,313,205,153,2
915,188,292,172,197,2
738,187,438,201,200,2
495,285,571,120,293,2
478,303,529,86,368,2
829,216,361,163,195,2
374,366,527,60,437,2
603,334,437,134,256,2
978,126,292,214,154,2
645,294,464,136,225,2
64,393,633,9,665,2
947,201,311,136,169,2
728,208,434,184,210,2
877,215,338,147,187,2
720,239,386,169,250,2
1025,148,231,204,156,2
842,125,368,243,186,2
768,261,376,133,226,2
469,418,463,68,346,2
572,299,487,119,287,2
761,177,431,199,196,2
954,115,328,233,134,2
392,332,593,105,342,2
894,161,341,203,165,2
634,361,423,108,238,2
1163,107,222,140,132,2
404,339,521,110,390,2
910,217,306,157,174,2
1076,126,264,169,129,2
534,357,472,110,291,2
706,225,450,168,215,2
675,248,433,134,274,2
828,228,337,159,212,2
1284,94,164,124,98,2
808,220,386,178,172,2
802,183,407,185,187,2
1169,117,214,144,120,2
512,324,539,94,295,2
787,200,413,142,222,2
850,242,297,145,230,2
896,133,350,208,177,2
724,247,440,150,203,2
775,356,351,125,157,2
368,352,549,82,413,2
697,233,453,168,213,2
836,221,308,165,234,2
1033,131,219,289,92,2
968,119,306,202,169,2
329,425,580,34,396,2
866,242,302,187,167,2
474,437,469,59,325,2
523,194,550,185,312,2
696,271,418,156,223,2
1015,93,242,240,174,2
820,300,305,142,197,2
783,110,420,224,227,2
384,427,549,47,357,2
651,236,479,167,231,2
759,172,426,217,190,2
686,293,378,145,262,2
834,212,363,160,195,2
1261,105,175,129,94,2
835,150,416,179,184,2
962,173,245,236,148,2
738,248,405,107,266,2
131,422,650,17,544,2
748,238,414,143,221,2
531,349,505,96,283,2
412,410,488,58,396,2
862,216,354,135,197,2
904,193,313,171,183,2
555,306,455,116,332,2
835,187,357,191,194,2
371,358,595,74,366,2
578,323,439,130,294,2
1225,88,205,165,81,2
879,168,322,173,222,2
680,190,532,181,181,2
1062,136,248,183,135,2
1328,90,131,143,72,2
907,141,348,224,144,2
636,248,467,151,262,2
669,333,362,117,283,2
1109,122,248,144,141,2
793,218,325,190,238,2
332,393,583,67,389,2
537,299,472,141,315,2
677,268,385,142,292,2
676,218,446,193,231,2
231,411,611,34,477,2
723,274,396,146,225,2
984,148,278,209,145,2
829,164,389,192,190,2
750,244,357,196,217,2
1026,91,321,215,111,2
275,413,616,48,412,2
690,304,391,162,217,2
583,343,421,90,327,2
774,238,355,197,200,2
732,249,413,147,223,2
836,209,318,225,176,2
954,180,291,182,157,2
787,244,336,178,219,2
302,418,591,44,409,2
639,285,414,141,285,2
723,293,401,126,221,2
488,338,512,88,338,2
1101,158,234,149,122,2
846,237,339,150,192,2
856,240,298,183,187,2
869,149,360,221,165,2
359,399,520,56,430,2
956,190,231,169,218,2
943,128,309,230,154,2
775,283,380,138,188,2
823,240,356,137,208,2
566,337,437,96,328,2
533,384,487,75,285,2
799,267,342,180,176,2
753,265,430,141,175,2
954,191,311,150,158,2
900,136,365,179,184,2
926,204,267,197,170,2
785,190,395,188,206,2
569,207,549,175,264,2
798,231,310,199,226,2
880,155,356,202,171,2
741,267,375,180,201,2
917,112,285,270,180,2
704,208,458,195,199,2
546,353,476,93,296,2
689,222,435,177,241,2
522,414,441,65,322,2
1014,126,265,222,137,2
881,156,337,211,179,2
893,174,344,190,163,2
810,231,348,158,217,2
571,261,535,141,256,2
864,182,331,231,156,2
792,198,341,242,191,2
553,271,448,148,344,2
844,172,378,177,193,2
817,169,375,204,199,2
629,297,434,149,255,2
576,308,461,121,298,2
868,149,390,212,145,2
670,379,338,109,268,2
983,136,302,185,158,2
628,268,444,165,259,2
691,300,403,108,262,2
930,188,312,180,154,2
442,372,546,58,346,2
710,216,416,155,267,2
736,214,394,210,210,2
912,176,324,206,146,2
910,264,266,183,141,2
700,252,394,186,232,2
533,343,462,113,313,2
757,200,386,178,243,2
1021,134,288,199,122,2
866,195,339,190,174,2
101,375,561,20,707,2
274,394,571,41,484,2
538,337,498,131,260,2
896,171,308,203,186,2
305,433,580,48,398,2
799,241,379,171,174,2
1006,131,312,183,132,2
805,140,390,237,192,2
853,255,311,183,162,2
672,235,400,119,338,2
635,265,473,141,250,2
883,186,297,212,186,2
281,335,524,70,554,2
789,188,424,191,172,2
