0,1,2,3,4,Class
892,198,290,188,196,1
875,112,309,270,198,1
506,374,470,86,328,1
716,380,422,84,162,1
792,267,319,176,210,1
576,322,463,120,283,1
539,349,486,102,288,1
554,412,469,72,257,1
604,299,384,140,337,1
513,404,456,76,315,1
613,357,419,125,250,1
600,306,443,121,294,1
897,174,336,197,160,1
646,291,385,145,297,1
656,279,427,158,244,1
762,296,307,159,240,1
1202,143,212,85,122,1
541,399,462,77,285,1
474,313,506,112,359,1
624,232,462,163,283,1
763,260,415,122,204,1
242,319,661,65,477,1
540,310,480,146,288,1
484,354,520,80,326,1
481,321,488,104,370,1
546,380,465,91,282,1
732,240,401,177,214,1
802,216,351,180,215,1
391,356,516,87,414,1
523,375,452,85,329,1
626,283,467,134,254,1
514,400,508,66,276,1
466,386,521,72,319,1
844,266,342,121,191,1
432,335,600,90,307,1
277,454,557,41,435,1
640,276,444,136,268,1
680,268,413,158,245,1
673,283,427,147,234,1
651,303,412,125,273,1
783,202,355,225,199,1
104,415,641,17,587,1
582,307,381,80,414,1
307,443,562,51,401,1
641,302,402,136,283,1
642,244,459,175,244,1
472,370,506,88,328,1
759,181,445,177,202,1
657,335,432,115,225,1
713,284,371,180,216,1
750,262,375,176,201,1
712,234,399,179,240,1
624,273,431,158,278,1
268,425,569,51,451,1
508,346,464,115,331,1
583,280,495,130,276,1
930,239,255,217,123,1
807,235,392,163,167,1
536,456,452,52,268,1
554,330,479,95,306,1
396,411,550,52,355,1
675,234,461,158,236,1
344,385,571,57,407,1
606,352,447,87,272,1
531,393,477,76,287,1
794,228,391,152,199,1
551,349,483,110,271,1
376,409,587,57,335,1
726,260,389,140,249,1
457,361,502,86,358,1
496,419,506,66,277,1
642,273,478,116,255,1
541,282,544,150,247,1
576,231,404,172,381,1
489,356,484,89,346,1
608,391,447,64,254,1
556,336,475,121,276,1
779,220,359,203,203,1
537,290,498,137,302,1
513,404,466,85,296,1
708,263,428,131,234,1
540,283,474,142,325,1
453,349,506,105,351,1
674,270,370,163,287,1
795,231,376,180,182,1
579,327,477,107,274,1
501,340,472,110,341,1
418,369,552,57,368,1
544,323,465,108,324,1
790,298,356,131,189,1
480,383,508,66,327,1
697,301,411,102,253,1
568,338,489,102,267,1
413,447,501,41,362,1
700,296,388,135,245,1
397,415,521,47,384,1
637,308,437,135,247,1
495,410,494,67,298,1
82,394,640,11,637,1
756,272,361,146,229,1
533,285,478,109,359,1
490,280,494,104,396,1
605,343,503,110,203,1
758,220,369,193,224,1
505,359,494,76,330,1
721,226,364,189,264,1
456,347,542,88,331,1
549,387,458,83,287,1
554,311,490,126,283,1
487,311,423,82,461,1
562,249,502,166,285,1
653,229,460,126,296,1
791,191,362,210,210,1
368,389,534,63,410,1
685,406,372,92,209,1
533,334,460,101,336,1
660,323,456,103,222,1
534,341,457,126,306,1
603,241,450,149,321,1
553,351,406,71,383,1
413,355,541,78,377,1
580,293,480,110,301,1
925,180,293,206,160,1
